UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,Note,SourceUrl
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,B00,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,B08,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,D07,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_NN,"Nhóm ngành Kỹ thuật Điện tử - Viễn thông, Thiết kế vi mạch",THPTQG,A00,30,25.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_NN,"Nhóm ngành Kỹ thuật Điện tử - Viễn thông, Thiết kế vi mạch",THPTQG,A01,30,25.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_NN,"Nhóm ngành Kỹ thuật Điện tử - Viễn thông, Thiết kế vi mạch",THPTQG,D07,30,25.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_NN,"Nhóm ngành Kỹ thuật Điện tử - Viễn thông, Thiết kế vi mạch",THPTQG,D90,30,25.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_DKD,Kỹ thuật Điện tử - Viễn thông (CT tăng cường tiếng Anh),THPTQG,A00,30,25.40,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_DKD,Kỹ thuật Điện tử - Viễn thông (CT tăng cường tiếng Anh),THPTQG,A01,30,25.40,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_DKD,Kỹ thuật Điện tử - Viễn thông (CT tăng cường tiếng Anh),THPTQG,D07,30,25.40,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520207_DKD,Kỹ thuật Điện tử - Viễn thông (CT tăng cường tiếng Anh),THPTQG,D90,30,25.40,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học, Công nghệ bán dẫn",ĐGNL,,1200,840,,https://hcmus.edu.vn/diem-chuan-trung-tuyen-dua-tren-ket-qua-ky-thi-danh-gia-nang-luc-cua-dhqg-hcm-nam-2024/
QST,7440102_DKD,Vật lý học (CT tăng cường tiếng Anh),ĐGNL,,1200,720,,https://hcmus.edu.vn/diem-chuan-trung-tuyen-dua-tren-ket-qua-ky-thi-danh-gia-nang-luc-cua-dhqg-hcm-nam-2024/
QST,7440228,Hải dương học,ĐGNL,,1200,630,,https://hcmus.edu.vn/diem-chuan-trung-tuyen-dua-tren-ket-qua-ky-thi-danh-gia-nang-luc-cua-dhqg-hcm-nam-2024/
QST,7440112,Hóa học,ĐGNL,,1200,860,,https://hcmus.edu.vn/diem-chuan-trung-tuyen-dua-tren-ket-qua-ky-thi-danh-gia-nang-luc-cua-dhqg-hcm-nam-2024/
