UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,B00,30,
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,B08,30,
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,D07,30,
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,X10,30,
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,X14,30,
QST,7510406,Công nghệ Kỹ thuật Môi trường,ĐGNL,,1200,
QST,7520207,Kỹ thuật điện tử – viễn thông,THPTQG,A00,30,
QST,7520207,Kỹ thuật điện tử – viễn thông,THPTQG,A01,30,
QST,7520207,Kỹ thuật điện tử – viễn thông,THPTQG,A02,30,
QST,7520207,Kỹ thuật điện tử – viễn thông,THPTQG,B08,30,
QST,7520207,Kỹ thuật điện tử – viễn thông,THPTQG,X06,30,
QST,7520207,Kỹ thuật điện tử – viễn thông,THPTQG,X26,30,
QST,7520207,Kỹ thuật điện tử – viễn thông,ĐGNL,,1200,
QST,75202a1,Thiết kế vi mạch,THPTQG,A00,30,
QST,75202a1,Thiết kế vi mạch,THPTQG,A01,30,
QST,75202a1,Thiết kế vi mạch,THPTQG,A02,30,
QST,75202a1,Thiết kế vi mạch,THPTQG,B08,30,
QST,75202a1,Thiết kế vi mạch,THPTQG,X06,30,
QST,75202a1,Thiết kế vi mạch,THPTQG,X26,30,
QST,75202a1,Thiết kế vi mạch,ĐGNL,,1200,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),THPTQG,A00,30,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),THPTQG,A01,30,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),THPTQG,A02,30,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),THPTQG,B08,30,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),THPTQG,X06,30,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),THPTQG,X26,30,
QST,7520207_DKD,Kỹ thuật điện tử – viễn thông (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A00,30,
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A01,30,
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A02,30,
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A03,30,
QST,7520402,Kỹ thuật hạt nhân,THPTQG,C01,30,
QST,7520402,Kỹ thuật hạt nhân,THPTQG,X06,30,
QST,7520402,Kỹ thuật hạt nhân,ĐGNL,,1200,
QST,7520403,Vật lý y khoa,THPTQG,A00,30,
QST,7520403,Vật lý y khoa,THPTQG,A01,30,
QST,7520403,Vật lý y khoa,THPTQG,A02,30,
QST,7520403,Vật lý y khoa,THPTQG,A03,30,
QST,7520403,Vật lý y khoa,THPTQG,C01,30,
QST,7520403,Vật lý y khoa,THPTQG,X06,30,
QST,7520403,Vật lý y khoa,ĐGNL,,1200,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A00,30,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A01,30,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A02,30,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A03,30,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,C01,30,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,X06,30,
QST,7520403_DKD,Vật lý y khoa (chương trình tăng cường tiếng Anh) (dự kiến),ĐGNL,,1200,
QST,7520501,Kỹ thuật địa chất,THPTQG,A00,30,
QST,7520501,Kỹ thuật địa chất,THPTQG,C01,30,
QST,7520501,Kỹ thuật địa chất,THPTQG,C02,30,
QST,7520501,Kỹ thuật địa chất,THPTQG,C04,30,
QST,7520501,Kỹ thuật địa chất,THPTQG,D01,30,
QST,7520501,Kỹ thuật địa chất,THPTQG,D10,30,
QST,7520501,Kỹ thuật địa chất,ĐGNL,,1200,
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,A00,30
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,B00,30
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,B08,30
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,D07,30
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,X10,30
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,X14,30
QST,7850101,Quản lý tài nguyên và môi trường,ĐGNL,,1200
QST,7140103,Công nghệ giáo dục,THPTQG,A00,30
QST,7140103,Công nghệ giáo dục,THPTQG,A01,30
QST,7140103,Công nghệ giáo dục,THPTQG,B00,30
QST,7140103,Công nghệ giáo dục,THPTQG,C01,30
QST,7140103,Công nghệ giáo dục,THPTQG,D01,30
QST,7140103,Công nghệ giáo dục,THPTQG,D07,30
QST,7140103,Công nghệ giáo dục,ĐGNL,,1200
