UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QST,7440112_DKD,Hóa học (CT TCTA),ĐGNL,,1200,797,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440122,Khoa học Vật liệu,ĐGNL,,1200,790,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440122_DKD,Khoa học Vật liệu (CT TCTA),ĐGNL,,1200,742,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",ĐGNL,,1200,707,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440228,Hải dương học,ĐGNL,,1200,711,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301,Khoa học Môi trường,ĐGNL,,1200,658,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),ĐGNL,,1200,573,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",ĐGNL,,1200,910,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",ĐGNL,,1200,1019,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480101_TT,Khoa học máy tính (CT Tiên tiến),ĐGNL,,1200,1136,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480107,Trí tuệ nhân tạo,ĐGNL,,1200,1092,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_DKD,Công nghệ thông tin (CT TCTA),ĐGNL,,1200,906,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_NN,Nhóm ngành máy tính và Công nghệ thông tin (Công nghệ thông tin; Kỹ thuật phần mềm; Hệ thống thông tin; Khoa học máy tính),ĐGNL,,1200,972,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (CT TCTA),ĐGNL,,1200,842,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510402,Công nghệ Vật liệu,ĐGNL,,1200,832,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510406,Công nghệ Kỹ thuật Môi trường,ĐGNL,,1200,673,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207,Kỹ thuật điện tử - viễn thông,ĐGNL,,1200,910,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
